Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
125,2024-2025,2,Cash,Transport,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,35,0
126,2024-2025,2,Cash,Food,Expenditure,20-08-2024,20240820,30500,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,36,0
127,2024-2025,2,Cash,Different,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,37,0
128,2024-2025,2,Cash,Medias,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,38,0
129,2024-2025,2,Cash,Insurance And Treatment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,39,0
130,2024-2025,2,Cash,Salaries,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,40,0
131,2024-2025,2,Cash,Educational Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,41,0
132,2024-2025,2,Cash,Trips,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,42,0
133,2024-2025,2,Cash,Equipment,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,43,0
134,2024-2025,2,Cash,Transport,Expenditure,20-08-2024,20240820,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,44,0
135,2024-2025,2,Cash,Food,Expenditure,20-08-2024,20240820,13005,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,45,1
136,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
137,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
138,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
139,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
140,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
141,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
142,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
143,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
144,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,30000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
145,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
146,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
147,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
148,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
149,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
150,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
151,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
152,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
153,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,12164,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
154,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,19,0
155,2024-2025,2,Cash,Medias,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,20,0
156,2024-2025,2,Cash,Insurance And Treatment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,21,0
157,2024-2025,2,Cash,Salaries,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,22,0
158,2024-2025,2,Cash,Educational Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,23,0
159,2024-2025,2,Cash,Trips,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,24,0
160,2024-2025,2,Cash,Equipment,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,25,0
161,2024-2025,2,Cash,Transport,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,26,0
162,2024-2025,2,Cash,Food,Expenditure,21-08-2024,20240821,29210,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,27,0
163,2024-2025,2,Cash,Different,Expenditure,21-08-2024,20240821,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,28,0
